Transaction Date,Description 1,Description 2,CAD$
02/03/2026,INTERAC e-Transfer from CHEN W,Project payment,2500
02/05/2026,INTERAC FEE,Transfer fee,-0.25
02/05/2026,AWS CANADA,Cloud hosting,-145.0
02/05/2026,QUICKBOOKS ONLINE,Accounting software,-40.0
02/07/2026,INTERAC FEE,Transfer fee,-0.25
02/07/2026,INTERAC e-Transfer from JOHNSON M,Consulting fee,1200
02/07/2026,HYDRO ONE,Electricity,-112.0
02/09/2026,ZOOM.US,Video conferencing,-19.99
02/09/2026,TELUS MOBILITY,Phone plan,-85.0
02/09/2026,INTERAC e-Transfer from SMITH J,Client payment,850
02/11/2026,ZOOM.US,Video conferencing,-19.99
02/11/2026,INTERAC e-Transfer from CHEN W,Project payment,2500
02/11/2026,DEPOSIT-GOVERNMENT OF CANADA,HST refund,1876.5
02/13/2026,DEPOSIT-PAYROLL,Salary deposit,4200
02/13/2026,INTERAC e-Transfer from TECH CORP,Software dev,3500
02/13/2026,AWS CANADA,Cloud hosting,-145.0
02/15/2026,MONTHLY FEE,Bank service fee,-4.95
02/15/2026,TELUS MOBILITY,Phone plan,-85.0
02/15/2026,INSURANCE-MANULIFE,Business insurance,-125.0
02/17/2026,WEWORK CANADA,Office space,-450.0
02/17/2026,CANADA POST,Shipping,-15.5
02/17/2026,INTERAC e-Transfer from TECH CORP,Software dev,3500
02/19/2026,WEWORK CANADA,Office space,-450.0
02/19/2026,QUICKBOOKS ONLINE,Accounting software,-40.0
02/19/2026,STAPLES BUSINESS,Office supplies,-67.3
02/21/2026,DEPOSIT-PAYROLL,Salary deposit,4200
02/21/2026,WEWORK CANADA,Office space,-450.0
02/21/2026,INTERAC e-Transfer from CHEN W,Project payment,2500
02/23/2026,MONTHLY FEE,Bank service fee,-4.95
02/23/2026,INTERAC e-Transfer from PATEL R,Monthly retainer,1500
02/23/2026,AWS CANADA,Cloud hosting,-145.0
02/25/2026,SHOPIFY*MONTHLY,Platform fee,-79.99
02/25/2026,STAPLES BUSINESS,Office supplies,-67.3
02/25/2026,INSURANCE-MANULIFE,Business insurance,-125.0
02/27/2026,WEWORK CANADA,Office space,-450.0
02/27/2026,ZOOM.US,Video conferencing,-19.99
02/27/2026,INTERAC e-Transfer from PATEL R,Monthly retainer,1500
03/01/2026,INTERAC e-Transfer from PATEL R,Monthly retainer,1500
03/01/2026,HYDRO ONE,Electricity,-112.0
03/01/2026,ROGERS CABLE,Internet,-99.99
03/03/2026,CANADA POST,Shipping,-15.5
03/03/2026,STAPLES BUSINESS,Office supplies,-67.3
03/03/2026,INTERAC FEE,Transfer fee,-0.25
03/05/2026,HYDRO ONE,Electricity,-112.0
03/05/2026,DEPOSIT-GOVERNMENT OF CANADA,HST refund,1876.5
03/05/2026,MONTHLY FEE,Bank service fee,-4.95
03/07/2026,AWS CANADA,Cloud hosting,-145.0
03/07/2026,QUICKBOOKS ONLINE,Accounting software,-40.0
03/07/2026,CANADA POST,Shipping,-15.5
03/09/2026,STAPLES BUSINESS,Office supplies,-67.3
03/09/2026,INTERAC e-Transfer from JOHNSON M,Consulting fee,1200
03/09/2026,TELUS MOBILITY,Phone plan,-85.0
03/11/2026,INTERAC e-Transfer from JOHNSON M,Consulting fee,1200
03/11/2026,CANADA POST,Shipping,-15.5
03/11/2026,ZOOM.US,Video conferencing,-19.99
03/13/2026,QUICKBOOKS ONLINE,Accounting software,-40.0
03/13/2026,SHOPIFY*MONTHLY,Platform fee,-79.99
03/13/2026,DEPOSIT-PAYROLL,Salary deposit,4200
03/15/2026,DEPOSIT-PAYROLL,Salary deposit,4200
03/15/2026,MONTHLY FEE,Bank service fee,-4.95
03/15/2026,DEPOSIT-GOVERNMENT OF CANADA,HST refund,1876.5
03/17/2026,AWS CANADA,Cloud hosting,-145.0
03/17/2026,QUICKBOOKS ONLINE,Accounting software,-40.0
03/17/2026,WEWORK CANADA,Office space,-450.0
03/19/2026,ZOOM.US,Video conferencing,-19.99
03/19/2026,DEPOSIT-PAYROLL,Salary deposit,4200
03/19/2026,AWS CANADA,Cloud hosting,-145.0
03/21/2026,SHOPIFY*MONTHLY,Platform fee,-79.99
03/21/2026,ROGERS CABLE,Internet,-99.99
03/21/2026,INSURANCE-MANULIFE,Business insurance,-125.0
03/23/2026,INTERAC FEE,Transfer fee,-0.25
03/23/2026,INTERAC e-Transfer from CHEN W,Project payment,2500
03/23/2026,STAPLES BUSINESS,Office supplies,-67.3
03/25/2026,HYDRO ONE,Electricity,-112.0
03/25/2026,INTERAC e-Transfer from PATEL R,Monthly retainer,1500
03/25/2026,INSURANCE-MANULIFE,Business insurance,-125.0
03/27/2026,MONTHLY FEE,Bank service fee,-4.95
03/27/2026,AWS CANADA,Cloud hosting,-145.0
03/27/2026,INTERAC e-Transfer from PATEL R,Monthly retainer,1500
04/01/2026,HYDRO ONE,Electricity,-112.0
04/01/2026,INTERAC e-Transfer from PATEL R,Monthly retainer,1500
04/01/2026,QUICKBOOKS ONLINE,Accounting software,-40.0
04/03/2026,CANADA POST,Shipping,-15.5
04/03/2026,INSURANCE-MANULIFE,Business insurance,-125.0
04/03/2026,INTERAC FEE,Transfer fee,-0.25
04/05/2026,STAPLES BUSINESS,Office supplies,-67.3
04/05/2026,INTERAC e-Transfer from JOHNSON M,Consulting fee,1200
04/05/2026,WEWORK CANADA,Office space,-450.0
04/07/2026,AWS CANADA,Cloud hosting,-145.0
04/07/2026,DEPOSIT-GOVERNMENT OF CANADA,HST refund,1876.5
04/07/2026,INTERAC FEE,Transfer fee,-0.25
04/09/2026,SHOPIFY*MONTHLY,Platform fee,-79.99
04/09/2026,INTERAC FEE,Transfer fee,-0.25
04/09/2026,DEPOSIT-GOVERNMENT OF CANADA,HST refund,1876.5
04/11/2026,WEWORK CANADA,Office space,-450.0
04/11/2026,INTERAC e-Transfer from SMITH J,Client payment,850
04/11/2026,ROGERS CABLE,Internet,-99.99
04/13/2026,ZOOM.US,Video conferencing,-19.99
04/13/2026,HYDRO ONE,Electricity,-112.0
04/13/2026,INSURANCE-MANULIFE,Business insurance,-125.0
04/15/2026,QUICKBOOKS ONLINE,Accounting software,-40.0
04/15/2026,HYDRO ONE,Electricity,-112.0
04/15/2026,INTERAC e-Transfer from TECH CORP,Software dev,3500
04/17/2026,INTERAC e-Transfer from JOHNSON M,Consulting fee,1200
04/17/2026,INTERAC e-Transfer from CHEN W,Project payment,2500
04/17/2026,DEPOSIT-PAYROLL,Salary deposit,4200
04/19/2026,DEPOSIT-GOVERNMENT OF CANADA,HST refund,1876.5
04/19/2026,CANADA POST,Shipping,-15.5
04/19/2026,HYDRO ONE,Electricity,-112.0
04/21/2026,SHOPIFY*MONTHLY,Platform fee,-79.99
04/21/2026,STAPLES BUSINESS,Office supplies,-67.3
04/21/2026,ZOOM.US,Video conferencing,-19.99
04/23/2026,INTERAC e-Transfer from CHEN W,Project payment,2500
04/23/2026,DEPOSIT-PAYROLL,Salary deposit,4200
04/23/2026,INTERAC FEE,Transfer fee,-0.25
04/25/2026,TELUS MOBILITY,Phone plan,-85.0
04/25/2026,ZOOM.US,Video conferencing,-19.99
04/25/2026,INTERAC e-Transfer from CHEN W,Project payment,2500
04/27/2026,DEPOSIT-GOVERNMENT OF CANADA,HST refund,1876.5
04/27/2026,STAPLES BUSINESS,Office supplies,-67.3
04/27/2026,QUICKBOOKS ONLINE,Accounting software,-40.0
